timestamp_ms,x,y,z,new_x,new_y,new_z,height_m,rpm
1750864005454,-0.978533,4.9641,0.5,-0.978533,4.9641,0.5,-0.653533,3000
1750864005508,-0.786032,4.38482,0.5,-0.786032,4.38482,0.5,-0.461032,3000
1750864005555,0.372436,4.4126,0.5,0.372436,4.4126,0.5,0.697436,3000
1750864005606,0.59281,4.44093,0.5,0.59281,4.44093,0.5,0.91781,3000
1750864005655,0.450672,3.60665,0.5,0.450672,3.60665,0.5,0.775672,3000
1750864005706,0.458029,3.40406,0.5,0.458029,3.40406,0.5,0.783029,3000
1750864005766,0.574131,2.36477,0.5,0.574131,2.36477,0.5,0.899131,3000
1750864006109,0.62801,-2.10558,0.5,0.62801,-2.10558,0.5,0.95301,3000
1750864006157,0.629598,-2.30713,0.5,0.629598,-2.30713,0.5,0.954598,3000
1750864006207,0.87724,-2.67686,0.5,0.87724,-2.67686,0.5,1.20224,3000
1750864006257,0.488938,-3.00301,0.5,0.488938,-3.00301,0.5,0.813938,3000
1750864006310,-0.997718,-3.23197,0.5,-0.997718,-3.23197,0.5,-0.672718,3000
1750864006361,2.19259,-3.35132,0.5,2.19259,-3.35132,0.5,2.51759,3000
1750864013175,-0.721757,-3.43885,0.5,-0.721757,-3.43885,0.5,-0.396757,3000
1750864013228,-0.740719,-3.30194,0.5,-0.740719,-3.30194,0.5,-0.415719,3000
1750864013276,-0.757444,-3.46472,0.5,-0.757444,-3.46472,0.5,-0.432444,3000
1750864013334,-0.74995,-3.15017,0.5,-0.74995,-3.15017,0.5,-0.42495,3000
1750864013378,-0.739182,-3.0475,0.5,-0.739182,-3.0475,0.5,-0.414182,3000
1750864013429,-0.68587,-3.11703,0.5,-0.68587,-3.11703,0.5,-0.36087,3000
1750864013478,-0.529483,-2.89171,0.5,-0.529483,-2.89171,0.5,-0.204483,3000
1750864013525,-0.44757,-2.82405,0.5,-0.44757,-2.82405,0.5,-0.12257,3000
1750864013579,0.236046,-2.83893,0.5,0.236046,-2.83893,0.5,0.561046,3000
1750864013629,0.214316,-2.89738,0.5,0.214316,-2.89738,0.5,0.539316,3000
1750864013680,0.00493644,-2.8014,0.5,0.00493644,-2.8014,0.5,0.329936,3000
1750864013728,0.0940424,-2.74714,0.5,0.0940424,-2.74714,0.5,0.419042,3000
1750864013778,0.0676937,-2.72913,0.5,0.0676937,-2.72913,0.5,0.392694,3000
1750864013829,-0.0904282,-2.62898,0.5,-0.0904282,-2.62898,0.5,0.234572,3000
1750864013882,-0.061239,-2.68121,0.5,-0.061239,-2.68121,0.5,0.263761,3000
1750864013930,-0.104632,-2.61223,0.5,-0.104632,-2.61223,0.5,0.220368,3000
1750864013980,-0.238647,-2.49331,0.5,-0.238647,-2.49331,0.5,0.086353,3000
1750864014027,-0.213639,-2.51147,0.5,-0.213639,-2.51147,0.5,0.111361,3000
1750864014079,-0.275993,-2.47235,0.5,-0.275993,-2.47235,0.5,0.049007,3000
1750864014130,-0.281466,-2.46918,0.5,-0.281466,-2.46918,0.5,0.0435339,3000
1750864014180,-0.353442,-2.43428,0.5,-0.353442,-2.43428,0.5,-0.0284424,3000
1750864014227,-0.338,-2.44477,0.5,-0.338,-2.44477,0.5,-0.0129998,3000
1750864014277,-0.333246,-2.46194,0.5,-0.333246,-2.46194,0.5,-0.00824632,3000
1750864014331,-0.221232,-2.48836,0.5,-0.221232,-2.48836,0.5,0.103768,3000
1750864014377,-0.344516,-2.48965,0.5,-0.344516,-2.48965,0.5,-0.0195157,3000
1750864014429,-0.33786,-2.48449,0.5,-0.33786,-2.48449,0.5,-0.0128598,3000
1750864014479,-0.343299,-2.53646,0.5,-0.343299,-2.53646,0.5,-0.018299,3000
1750864014541,-0.421452,-2.52683,0.5,-0.421452,-2.52683,0.5,-0.0964517,3000
1750864014589,-0.420979,-2.53172,0.5,-0.420979,-2.53172,0.5,-0.0959785,3000
1750864014637,-0.409709,-2.57806,0.5,-0.409709,-2.57806,0.5,-0.0847085,3000
1750864014681,-0.337441,-2.55856,0.5,-0.337441,-2.55856,0.5,-0.0124409,3000
1750864014733,-0.383361,-2.53094,0.5,-0.383361,-2.53094,0.5,-0.0583605,3000
1750864014782,-0.356335,-2.54531,0.5,-0.356335,-2.54531,0.5,-0.0313351,3000
1750864014834,-0.355351,-2.54924,0.5,-0.355351,-2.54924,0.5,-0.0303508,3000
1750864014882,-0.343471,-2.6146,0.5,-0.343471,-2.6146,0.5,-0.0184713,3000
1750864014932,-0.372248,-2.55692,0.5,-0.372248,-2.55692,0.5,-0.047248,3000
1750864014980,-0.428706,-2.49131,0.5,-0.428706,-2.49131,0.5,-0.103706,3000
1750864015033,-0.37498,-2.52533,0.5,-0.37498,-2.52533,0.5,-0.0499799,3000
1750864015079,-0.416338,-2.50605,0.5,-0.416338,-2.50605,0.5,-0.0913379,3000
1750864015132,-0.255344,-2.56449,0.5,-0.255344,-2.56449,0.5,0.0696562,3000
1750864015191,-0.347531,-2.50349,0.5,-0.347531,-2.50349,0.5,-0.0225306,3000
1750864015245,-0.184569,-2.51479,0.5,-0.184569,-2.51479,0.5,0.140431,3000
1750864015298,-0.329955,-2.50088,0.5,-0.329955,-2.50088,0.5,-0.00495491,3000
1750864015340,-0.243207,-2.57236,0.5,-0.243207,-2.57236,0.5,0.081793,3000
1750864015388,-0.178999,-2.56851,0.5,-0.178999,-2.56851,0.5,0.146001,3000
1750864015435,-0.184042,-2.59358,0.5,-0.184042,-2.59358,0.5,0.140958,3000
1750864015486,-0.139961,-2.51348,0.5,-0.139961,-2.51348,0.5,0.185039,3000
