frame_id,timestamp_ms,ball_u,ball_v,aruco_u,aruco_v
1837,1750952249230,-999,-999,816,873.25
1838,1750952249294,-999,-999,816.5,874.25
1839,1750952249337,-999,-999,815.75,874.75
1840,1750952249381,-999,-999,816.25,875
1841,1750952249431,-999,-999,816,874.5
1842,1750952249482,-999,-999,817,872.75
1843,1750952249533,-999,-999,817.5,874.25
1844,1750952249586,-999,-999,815.25,874.5
1845,1750952249632,-999,-999,815.75,874.5
1846,1750952249682,-999,-999,815.75,874
1847,1750952249734,-999,-999,816.75,873.75
1848,1750952249782,-999,-999,816.25,873.75
1849,1750952249831,-999,-999,816,873.25
1850,1750952249883,-999,-999,816,875
1851,1750952249933,-999,-999,815,874
1852,1750952249986,-999,-999,816.75,873.75
1853,1750952250035,-999,-999,816,873
1854,1750952250082,-999,-999,815.5,873
1855,1750952250134,-999,-999,816.25,874
1856,1750952250185,-999,-999,816.25,874.5
1857,1750952250237,-999,-999,816.5,873.75
1858,1750952250284,-999,-999,815.5,874
1859,1750952250339,-999,-999,816,874.75
1860,1750952250385,-999,-999,817,874
1861,1750952250433,-999,-999,815.5,875.25
1862,1750952250483,-999,-999,817,874.25
1863,1750952250533,-999,-999,814.5,874.25
1864,1750952250594,-999,-999,815.75,873.25
1865,1750952250642,-999,-999,816.75,873
1866,1750952250684,-999,-999,815.75,873.5
1867,1750952250736,-999,-999,816.5,874.5
1868,1750952250785,-999,-999,816,873.75
1869,1750952250835,-999,-999,816.25,874.25
1870,1750952250884,-999,-999,816.25,874.25
1871,1750952250937,-999,-999,815,874.5
1872,1750952250984,-999,-999,815.5,874.25
1873,1750952251034,-999,-999,817,874.25
1874,1750952251085,-999,-999,815.75,873.5
1875,1750952251147,-999,-999,816,873.25
1876,1750952251187,-999,-999,816.75,874
1877,1750952251236,-999,-999,815.5,874.25
1878,1750952251286,-999,-999,816.25,874.25
1879,1750952251335,-999,-999,816.75,874
1880,1750952251386,-999,-999,816.75,874.5
1881,1750952251438,-999,-999,816.25,875
1882,1750952251486,-999,-999,815.25,873.5
1883,1750952251539,-999,-999,815.25,873.75
1884,1750952251587,-999,-999,816.75,874
1885,1750952251638,-999,-999,816.25,874.5
1886,1750952251687,-999,-999,816.25,874.25
1887,1750952251740,-999,-999,816,873.25
1888,1750952251796,-999,-999,815.5,875
1889,1750952251837,-999,-999,816,873.75
1890,1750952251887,-999,-999,816,873
1891,1750952251949,-999,-999,816.75,874.25
1892,1750952251990,-999,-999,815.5,873.25
1893,1750952252038,-999,-999,815,873.75
1894,1750952252090,-999,-999,816,874.5
1895,1750952252138,-999,-999,816.75,873.5
1896,1750952252189,-999,-999,816.25,873.75
