frame_id,timestamp_ms,ball_u,ball_v,aruco_u,aruco_v
1940,1750951734312,-999,-999,816,873.25
1941,1750951734363,-999,-999,815.5,874
1942,1750951734412,-999,-999,815,873.25
1943,1750951734467,-999,-999,816.5,874
1944,1750951734512,-999,-999,816,874.75
1945,1750951734571,-999,-999,815.75,874.5
1946,1750951734613,-999,-999,816,874
1947,1750951734662,-999,-999,815.25,874.5
1948,1750951734713,-999,-999,815.75,873.5
1949,1750951734775,-999,-999,816.5,874
1950,1750951734818,-999,-999,816.75,873.25
1951,1750951734863,-999,-999,815.75,873
1952,1750951734913,-999,-999,816.75,873.75
1953,1750951734965,-999,-999,816,874.5
1954,1750951735014,-999,-999,817,873.5
1955,1750951735066,-999,-999,816.5,873
1956,1750951735114,-999,-999,816.25,873.5
1957,1750951735164,-999,-999,816.75,873.75
1958,1750951735213,-999,-999,816,873.75
1959,1750951735264,-999,-999,816,873.5
1960,1750951735332,-999,-999,817,874.75
1961,1750951735374,-999,-999,816.25,874.75
1962,1750951735419,-999,-999,815.75,874.75
1963,1750951735466,-999,-999,815.75,872.25
1964,1750951735514,-999,-999,817.75,874
1965,1750951735566,-999,-999,816.75,874.25
1966,1750951735615,-999,-999,816,874
1967,1750951735665,-999,-999,816,873.5
1968,1750951735715,-999,-999,815.5,874.25
1969,1750951735766,-999,-999,816.5,874.5
1970,1750951735816,-999,-999,815.75,874
1971,1750951735869,-999,-999,815.25,873.5
1972,1750951735916,-999,-999,816.25,875
1973,1750951735965,-999,-999,816.25,873.5
1974,1750951736020,-999,-999,817.25,873.5
1975,1750951736066,-999,-999,816.75,874.5
1976,1750951736124,-999,-999,816.75,874
1977,1750951736167,-999,-999,816.75,873.25
1978,1750951736217,-999,-999,815.25,873.25
1979,1750951736266,-999,-999,817.5,873.5
1980,1750951736317,-999,-999,816,874.75
1981,1750951736367,-999,-999,815.75,874.5
1982,1750951736417,-999,-999,815.25,872.75
1983,1750951736468,-999,-999,816,874
1984,1750951736516,-999,-999,816,873.75
1985,1750951736567,-999,-999,816.5,874.5
1986,1750951736617,-999,-999,815.5,872.25
1987,1750951736668,-999,-999,816.75,874.5
1988,1750951736718,-999,-999,817,874
1989,1750951736767,-999,-999,816,874.25
1990,1750951736818,-999,-999,816,874.25
1991,1750951736868,-999,-999,816.25,874.25
1992,1750951736919,-999,-999,815,875.25
1993,1750951736971,-999,-999,816.5,873.5
1994,1750951737021,-999,-999,817,873.5
1995,1750951737069,-999,-999,815.75,874
1996,1750951737119,-999,-999,816.25,874.75
1997,1750951737170,-999,-999,815.75,873.25
1998,1750951737220,-999,-999,817,873.75
1999,1750951737276,-999,-999,816.25,874.5
2000,1750951737320,-999,-999,815.75,874.5
2001,1750951737369,-999,-999,815,873
2002,1750951737420,-999,-999,816.25,874
2003,1750951737470,-999,-999,816.5,873.25
2004,1750951737524,-999,-999,816.25,874
2005,1750951737571,-999,-999,816.25,873.75
2006,1750951737621,-999,-999,816.5,873
2007,1750951737671,-999,-999,817,873.25
2008,1750951737720,-999,-999,817,874
2009,1750951737772,-999,-999,816.5,873.75
2010,1750951737821,-999,-999,816.5,873.5
2011,1750951737874,-999,-999,816,873.5
2012,1750951737921,-999,-999,816,873
2013,1750951737972,-999,-999,817,874.25
2014,1750951738021,-999,-999,815.25,873.75
2015,1750951738075,-999,-999,816.5,874.25
2016,1750951738122,-999,-999,815.5,873.5
2017,1750951738171,-999,-999,815.75,873.75
2018,1750951738224,-999,-999,816.25,872.75
2019,1750951738272,-999,-999,816,874.25
2020,1750951738324,-999,-999,816.75,874
2021,1750951738373,-999,-999,816,874.25
2022,1750951738423,-999,-999,816.25,873.25
2023,1750951738473,-999,-999,815.25,874.75
2024,1750951738529,-999,-999,816.25,874.25
2025,1750951738573,-999,-999,817.25,874
2026,1750951738624,-999,-999,815.75,874.5
2027,1750951738673,-999,-999,816.25,874.25
2028,1750951738724,-999,-999,817.25,873.75
2029,1750951738773,-999,-999,816.5,874.5
2030,1750951738826,-999,-999,815.75,873.25
2031,1750951738874,-999,-999,816,873.25
2032,1750951738926,-999,-999,815.25,873.75
2033,1750951738974,-999,-999,815.75,873.5
2034,1750951739025,-999,-999,816.25,874.25
2035,1750951739074,-999,-999,816.5,874.25
2036,1750951739124,144.922,401.979,816,873.75
2037,1750951739174,172.987,355.553,815.5,874.5
2038,1750951739229,204.302,327.147,814.5,873.5
2039,1750951739275,231.849,307.139,816.5,873.75
2040,1750951739325,261.394,292.923,816.25,873.5
2041,1750951739376,290.349,277.311,816.5,872.75
2042,1750951739426,321.053,264.74,816,873.25
2043,1750951739475,350.502,255.442,816.75,873
2044,1750951739525,379.663,249.773,816.5,872.5
2045,1750951739575,409.435,244.432,816.75,873
2046,1750951739625,438.222,245.658,815.5,873.5
2047,1750951739676,467.795,249.921,816.5,874
2048,1750951739727,495.989,257.958,816.25,873
2049,1750951739776,524.058,270.672,816.5,874
2050,1750951739826,552.579,285.912,816.5,874.25
2051,1750951739877,582.862,298.451,816.25,873.25
2052,1750951739926,613.215,321.723,816,874.25
2053,1750951739977,638.521,353.586,817,874
2054,1750951740027,667.088,389.064,816.5,873.25
2055,1750951740090,695.611,426.207,816.25,874
2056,1750951740132,714.589,465.714,815.75,874
2057,1750951740177,-999,-999,815.25,874.25
2058,1750951740228,-999,-999,815.75,874.5
2059,1750951740282,810.876,604.75,815.5,873.75
2060,1750951740328,837.566,654.033,815.75,873.75
2061,1750951740382,858.814,710.579,816.25,872.5
2062,1750951740427,890.777,760.206,816.5,873.5
2063,1750951740480,917.675,766.469,815.5,874
2064,1750951740528,926.888,707.303,815.5,873.25
2065,1750951740579,-999,-999,816.5,873.75
2066,1750951740634,-999,-999,816.25,873.25
2067,1750951740679,977.672,585.421,816.25,874
2068,1750951740729,991.422,548.553,816.5,874.25
2069,1750951740779,1007.25,514.656,816.5,873
2070,1750951740829,1022.42,484.584,817,874
2071,1750951740881,1038.37,459.064,816.75,873.75
2072,1750951740929,1053.68,437.484,816.5,873.5
2073,1750951740980,1070.03,419.228,817.5,872.75
2074,1750951741029,1085.44,404.804,817,874
2075,1750951741079,1101.66,394.719,816,874
2076,1750951741129,1118.14,389.827,816.5,875.5
2077,1750951741180,1134.24,387.473,816,874.5
2078,1750951741231,1150.14,387.146,815.75,873.25
2079,1750951741282,1165.41,391.855,815.5,874.25
2080,1750951741330,1181.4,401.261,815.75,873
2081,1750951741381,1198.18,414.84,816,873.75
