frame_id,timestamp_ms,ball_u,ball_v,aruco_u,aruco_v
858,1750951153052,-999,-999,818,873.5
859,1750951153106,-999,-999,817,874.25
860,1750951153154,-999,-999,816.5,874
861,1750951153203,-999,-999,816,874
862,1750951153253,-999,-999,817.5,874
863,1750951153304,-999,-999,816.75,873.5
864,1750951153354,-999,-999,816.75,873.75
865,1750951153413,-999,-999,816.75,873.75
866,1750951153455,-999,-999,815.75,873.75
867,1750951153504,-999,-999,816.25,873.75
868,1750951153562,-999,-999,815.25,874.75
869,1750951153604,-999,-999,816,874.75
870,1750951153659,-999,-999,816.75,874
871,1750951153705,-999,-999,816,874.75
872,1750951153755,-999,-999,817.25,873.75
873,1750951153804,-999,-999,816.25,874.5
874,1750951153855,-999,-999,816.5,874
875,1750951153904,-999,-999,817.25,873
876,1750951153955,-999,-999,817.25,873.5
877,1750951154006,-999,-999,816.25,874
878,1750951154055,-999,-999,817.5,874.75
879,1750951154106,-999,-999,817.25,873.5
880,1750951154155,-999,-999,816.5,873.75
881,1750951154206,-999,-999,816.5,873.25
882,1750951154256,-999,-999,816.5,873.75
883,1750951154308,-999,-999,816.25,873.75
884,1750951154357,-999,-999,816.5,874.25
885,1750951154406,-999,-999,817.25,874
886,1750951154455,-999,-999,816.75,874.25
887,1750951154507,-999,-999,818.25,874.5
888,1750951154556,-999,-999,818,872.75
889,1750951154607,-999,-999,816.5,874.25
890,1750951154658,-999,-999,817.5,875
891,1750951154708,-999,-999,815.5,873.75
892,1750951154757,-999,-999,817.25,873
893,1750951154809,-999,-999,816.75,873.75
894,1750951154858,-999,-999,816.75,873.5
895,1750951154907,-999,-999,816.5,872.25
896,1750951154958,-999,-999,816.5,873
897,1750951155008,-999,-999,816.75,874.5
898,1750951155060,-999,-999,816,874.5
899,1750951155108,-999,-999,816.5,874.25
900,1750951155160,-999,-999,815.5,874.5
901,1750951155213,-999,-999,817,873.75
902,1750951155259,-999,-999,816.5,873.25
903,1750951155309,-999,-999,817.25,874
904,1750951155359,-999,-999,815.75,873.75
905,1750951155409,-999,-999,815.75,874.25
906,1750951155459,-999,-999,817,874
907,1750951155511,-999,-999,817,874
908,1750951155559,-999,-999,816.5,873.25
909,1750951155612,-999,-999,816.5,874.25
910,1750951155661,-999,-999,816.25,874.5
911,1750951155709,-999,-999,817.25,873.5
912,1750951155761,-999,-999,816.25,873
913,1750951155810,-999,-999,817,873.25
914,1750951155860,-999,-999,817.5,874.25
915,1750951155911,-999,-999,816.25,874.5
916,1750951155960,-999,-999,816.75,874.25
917,1750951156010,-999,-999,817,873.5
918,1750951156072,-999,-999,815.5,873.75
919,1750951156113,-999,-999,817.25,873.5
920,1750951156165,-999,-999,815.75,873.75
921,1750951156211,-999,-999,817.5,873.25
922,1750951156261,-999,-999,816.75,874.25
923,1750951156314,-999,-999,816.25,873.25
924,1750951156525,-999,-999,816.75,873.75
925,1750951156652,-999,-999,816,873.5
926,1750951156778,-999,-999,817,874.5
927,1750951156909,-999,-999,816.25,874.25
928,1750951157043,-999,-999,816.75,874
929,1750951157177,-999,-999,817.5,875
930,1750951157312,-999,-999,816,874.25
931,1750951157442,-999,-999,817,874.25
932,1750951157575,-999,-999,817.5,874.5
933,1750951157708,-999,-999,817.25,874.25
934,1750951157835,-999,-999,817.25,873.75
935,1750951157969,-999,-999,817,873.5
936,1750951158103,-999,-999,817,874
937,1750951158237,-999,-999,816.5,874.25
938,1750951158370,-999,-999,817.25,873.5
939,1750951158500,-999,-999,817.25,875.25
940,1750951158631,-999,-999,817.25,874.75
941,1750951158764,-999,-999,817.75,872.75
942,1750951158892,155.222,399.312,816.25,873.5
943,1750951159021,239.592,322.788,816.75,873.5
944,1750951159154,289.053,304.128,818.25,872.75
945,1750951159279,372.237,297.858,817.25,874.75
946,1750951159406,-999,-999,817,873
947,1750951159531,508.414,349.052,817.25,873.5
948,1750951159658,562.059,409.663,817.25,874.5
949,1750951159781,-999,-999,816.75,873.75
950,1750951159906,696.5,606.875,816.75,873
951,1750951160035,769.461,760.752,816.75,873.75
952,1750951160165,-999,-999,816.5,873.5
953,1750951160298,867.568,608.71,816.5,873.75
954,1750951160423,916.112,513.405,816.5,874.75
955,1750951160550,951.428,468.896,817.25,873.75
956,1750951160675,1005.22,433.598,815.75,874
957,1750951160804,1041.12,428.394,816.75,873.25
958,1750951160931,1096.71,450.888,816.5,873.75
959,1750951161066,1133.87,486.729,817,874.25
960,1750951161197,-999,-999,817,874
961,1750951161321,1232.9,652.027,816.5,873.5
962,1750951161445,1286.64,779.418,817.5,873.5
963,1750951161572,1324.39,729.682,816.25,873.75
964,1750951161709,-999,-999,818,874
965,1750951161839,-999,-999,817.5,873.75
966,1750951161970,-999,-999,817.25,874.25
967,1750951162097,-999,-999,816.5,873
968,1750951162226,-999,-999,817.25,873
