timestamp_ms,x,y,z,new_x,new_y,new_z,height_m,rpm
1750863332266,-2.3751,-4.56664,0.5,-2.3751,-4.56664,0.5,-2.2601,3000
1750863332314,-2.53533,-3.9206,0.5,-2.53533,-3.9206,0.5,-2.42033,3000
1750863332366,-2.944,-3.65315,0.5,-2.944,-3.65315,0.5,-2.829,3000
1750863332415,-2.85194,-3.06917,0.5,-2.85194,-3.06917,0.5,-2.73694,3000
1750863332467,-3.22215,-2.67345,0.5,-3.22215,-2.67345,0.5,-3.10715,3000
1750863332517,-3.09712,-2.31277,0.5,-3.09712,-2.31277,0.5,-2.98212,3000
1750863332564,-3.5288,-2.07656,0.5,-3.5288,-2.07656,0.5,-3.4138,3000
1750863332614,-3.56294,-1.63355,0.5,-3.56294,-1.63355,0.5,-3.44794,3000
1750863332668,-3.64314,-1.25903,0.5,-3.64314,-1.25903,0.5,-3.52814,3000
1750863332717,-3.64026,-0.885819,0.5,-3.64026,-0.885819,0.5,-3.52526,3000
1750863332824,-3.49317,-0.249958,0.5,-3.49317,-0.249958,0.5,-3.37817,3000
1750863332868,-3.36658,-0.0939066,0.5,-3.36658,-0.0939066,0.5,-3.25158,3000
1750863332915,-3.39909,0.486609,0.5,-3.39909,0.486609,0.5,-3.28409,3000
1750863332965,-3.34219,0.741506,0.5,-3.34219,0.741506,0.5,-3.22719,3000
1750863333016,-3.28398,1.11941,0.5,-3.28398,1.11941,0.5,-3.16898,3000
1750863333074,-3.0294,1.44247,0.5,-3.0294,1.44247,0.5,-2.9144,3000
1750863333169,-2.85471,1.95125,0.5,-2.85471,1.95125,0.5,-2.73971,3000
1750863333219,-2.89133,2.18703,0.5,-2.89133,2.18703,0.5,-2.77633,3000
1750863333268,-2.9554,2.05291,0.5,-2.9554,2.05291,0.5,-2.8404,3000
1750863333320,-3.04353,1.99742,0.5,-3.04353,1.99742,0.5,-2.92853,3000
1750863333368,-2.81086,1.88969,0.5,-2.81086,1.88969,0.5,-2.69586,3000
1750863333521,-2.78802,1.42442,0.5,-2.78802,1.42442,0.5,-2.67302,3000
1750863333567,-2.82077,1.2643,0.5,-2.82077,1.2643,0.5,-2.70577,3000
1750863333620,-2.44876,1.18081,0.5,-2.44876,1.18081,0.5,-2.33376,3000
1750863333670,-2.30677,0.990525,0.5,-2.30677,0.990525,0.5,-2.19177,3000
1750863333720,-2.1264,0.83139,0.5,-2.1264,0.83139,0.5,-2.0114,3000
1750863333767,-1.955,0.510134,0.5,-1.955,0.510134,0.5,-1.84,3000
1750863333817,-1.64901,0.437322,0.5,-1.64901,0.437322,0.5,-1.53401,3000
1750863333869,-1.33767,0.355812,0.5,-1.33767,0.355812,0.5,-1.22267,3000
1750863333917,-0.972168,0.157171,0.5,-0.972168,0.157171,0.5,-0.857168,3000
1750863333977,-0.641323,-0.0942987,0.5,-0.641323,-0.0942987,0.5,-0.526323,3000
1750863334120,0.482863,-0.47452,0.5,0.482863,-0.47452,0.5,0.597863,3000
1750863334170,0.0689153,-0.556937,0.5,0.0689153,-0.556937,0.5,0.183915,3000
1750863334222,-0.150325,-0.726552,0.5,-0.150325,-0.726552,0.5,-0.0353248,3000
1750863334270,-0.57977,-0.789627,0.5,-0.57977,-0.789627,0.5,-0.46477,3000
1750863334321,-0.9045,-0.891178,0.5,-0.9045,-0.891178,0.5,-0.7895,3000
1750863334368,-1.14061,-0.991104,0.5,-1.14061,-0.991104,0.5,-1.02561,3000
1750863334429,-1.45154,-1.01347,0.5,-1.45154,-1.01347,0.5,-1.33654,3000
1750863334473,-1.67246,-1.16197,0.5,-1.67246,-1.16197,0.5,-1.55746,3000
1750863334527,-1.87392,-1.31549,0.5,-1.87392,-1.31549,0.5,-1.75892,3000
1750863334573,-1.99815,-1.46997,0.5,-1.99815,-1.46997,0.5,-1.88315,3000
1750863334621,-2.20555,-1.52895,0.5,-2.20555,-1.52895,0.5,-2.09055,3000
1750863334670,-2.3168,-1.62759,0.5,-2.3168,-1.62759,0.5,-2.2018,3000
1750863334721,-2.3654,-1.72822,0.5,-2.3654,-1.72822,0.5,-2.2504,3000
1750863334770,-2.38172,-1.8742,0.5,-2.38172,-1.8742,0.5,-2.26672,3000
1750863334823,-2.25237,-1.95843,0.5,-2.25237,-1.95843,0.5,-2.13737,3000
1750863334872,-2.36284,-2.04344,0.5,-2.36284,-2.04344,0.5,-2.24784,3000
1750863334921,-2.23515,-2.13807,0.5,-2.23515,-2.13807,0.5,-2.12015,3000
1750863334973,-1.98634,-2.21226,0.5,-1.98634,-2.21226,0.5,-1.87134,3000
1750863335022,-1.98709,-2.3572,0.5,-1.98709,-2.3572,0.5,-1.87209,3000
1750863335071,-1.7725,-2.42391,0.5,-1.7725,-2.42391,0.5,-1.6575,3000
1750863335122,-1.51741,-2.57427,0.5,-1.51741,-2.57427,0.5,-1.40241,3000
1750863335171,-1.24744,-2.63486,0.5,-1.24744,-2.63486,0.5,-1.13244,3000
1750863335221,-0.941523,-2.78806,0.5,-0.941523,-2.78806,0.5,-0.826523,3000
1750863335271,-0.645606,-2.87442,0.5,-0.645606,-2.87442,0.5,-0.530606,3000
1750863335325,-0.0638432,-2.90553,0.5,-0.0638432,-2.90553,0.5,0.0511568,3000
1750863335385,0.25566,-3.06926,0.5,0.25566,-3.06926,0.5,0.37066,3000
1750863335427,0.63333,-3.08207,0.5,0.63333,-3.08207,0.5,0.74833,3000
1750863335472,0.475325,-3.28479,0.5,0.475325,-3.28479,0.5,0.590325,3000
1750863335524,0.157921,-3.47244,0.5,0.157921,-3.47244,0.5,0.272921,3000
1750863335572,-0.114027,-3.64746,0.5,-0.114027,-3.64746,0.5,0.000973153,3000
1750863335624,-0.565891,-4.09097,0.5,-0.565891,-4.09097,0.5,-0.450891,3000
1750863335671,-0.708705,-4.00815,0.5,-0.708705,-4.00815,0.5,-0.593705,3000
1750863335722,-1.0837,-4.32093,0.5,-1.0837,-4.32093,0.5,-0.968702,3000
1750863335772,-1.15108,-4.32828,0.5,-1.15108,-4.32828,0.5,-1.03608,3000
1750863335833,-1.17944,-4.18592,0.5,-1.17944,-4.18592,0.5,-1.06444,3000
1750863335877,-1.35522,-4.62576,0.5,-1.35522,-4.62576,0.5,-1.24022,3000
1750863335928,-1.5938,-5.11964,0.5,-1.5938,-5.11964,0.5,-1.4788,3000
1750863335977,-1.64005,-5.10591,0.5,-1.64005,-5.10591,0.5,-1.52505,3000
