frame_id,timestamp_ms,ball_u,ball_v,aruco_u,aruco_v
61,1750951382797,-999,-999,816,874.5
62,1750951382849,-999,-999,816.75,875
63,1750951382899,-999,-999,815.5,875
64,1750951382943,-999,-999,816.25,874.25
65,1750951382994,-999,-999,816.5,873.25
66,1750951383059,-999,-999,817,874.5
67,1750951383099,-999,-999,816.5,873.5
68,1750951383143,-999,-999,815.75,873.25
69,1750951383193,-999,-999,815.25,874.75
70,1750951383244,-999,-999,816.25,873
71,1750951383293,-999,-999,815.25,873
72,1750951383344,-999,-999,815.5,872.5
73,1750951383394,-999,-999,816.25,873.5
74,1750951383446,-999,-999,817.25,873.25
75,1750951383495,-999,-999,815.75,873.75
76,1750951383548,-999,-999,815.75,874.75
77,1750951383595,-999,-999,815.5,874.5
78,1750951383652,-999,-999,816.5,873.5
79,1750951383696,-999,-999,816.25,874.5
80,1750951383746,-999,-999,815.25,873.5
81,1750951383795,-999,-999,814.75,874.25
82,1750951383845,133.077,433.203,816.25,873
83,1750951383895,159.141,400.306,815.25,874.25
84,1750951383946,181.659,359.437,815.75,874.25
85,1750951383995,212.686,336.11,815.75,874.75
86,1750951384048,241.872,321.862,815.75,874
87,1750951384101,267.401,304.811,816,874.25
88,1750951384149,295.601,300.071,816,873.25
89,1750951384196,323.945,292.807,816.75,874.5
90,1750951384246,351.526,288.39,815.75,874.5
91,1750951384298,379.663,288.467,816,873.75
92,1750951384347,407.31,289.176,817.5,873.25
93,1750951384407,433.849,295.252,815.5,875.5
94,1750951384449,460.094,298.658,815.5,874.25
95,1750951384500,491.332,311.409,816.75,873.5
96,1750951384549,516.51,327.316,815,873.75
97,1750951384598,543.888,354.593,815.25,873
98,1750951384649,570.405,382.403,816.5,873.75
99,1750951384698,596.499,412.243,816,873.75
100,1750951384750,625.695,440.334,816.25,874
101,1750951384818,654.213,486.997,815,873.75
102,1750951384860,678.345,526.156,815.25,874.75
103,1750951384904,704.388,571.081,815.25,873.25
104,1750951384949,-999,-999,815.75,874.75
105,1750951385000,-999,-999,815.5,874.75
106,1750951385049,-999,-999,817,873.5
107,1750951385105,-999,-999,815.5,873.5
108,1750951385150,841.05,760.717,815.75,873.25
109,1750951385201,846.351,720.648,816.25,873.75
110,1750951385260,855.534,673.26,816.5,873.75
111,1750951385300,862.514,628.654,815.5,872.75
112,1750951385360,883.348,588.727,815.75,873.75
113,1750951385403,900.755,553.588,816.25,874
114,1750951385451,913.975,521.709,816.25,874
115,1750951385500,928.672,492.827,816.75,874
116,1750951385551,942.464,467.916,816.25,873.25
117,1750951385603,956.443,447.867,816,873.5
118,1750951385651,970.69,431.497,815.5,873.75
119,1750951385703,984.936,418.829,817,873.75
120,1750951385751,999.703,409.993,815.75,873.25
121,1750951385802,1014.69,404.677,816.75,873.75
122,1750951385852,1030.2,403.579,815.5,874.25
123,1750951385903,1045.43,405.843,816.5,874.5
124,1750951385958,1060.44,413.792,815,873.25
125,1750951386005,1076.39,424.816,816,873.75
126,1750951386052,1091.66,440.024,815.25,873.5
127,1750951386102,1106.69,458.203,816.5,873.75
128,1750951386153,1121.87,481.871,815.75,874.5
129,1750951386202,1138.38,509.846,815.75,872.5
130,1750951386252,-999,-999,815.25,873.25
131,1750951386303,1175.43,574.194,816,873.5
132,1750951386357,1200.45,604.629,816,874
133,1750951386405,1206.46,646.415,816.5,873.75
134,1750951386453,1217.7,693.164,816,872.75
135,1750951386504,1235,751.027,816,874
136,1750951386553,1251.12,800.424,816,875
137,1750951386608,1264.15,753.572,816,874.25
138,1750951386654,1272.72,692.824,815.5,874.25
139,1750951386706,1286.74,659.889,815.5,873
140,1750951386754,1298.8,622.62,816.75,874.5
141,1750951386804,1303.84,592.257,815.75,873.25
142,1750951386858,-999,-999,815.75,873.25
143,1750951386905,-999,-999,815.75,872.5
144,1750951386960,-999,-999,815.75,874
145,1750951387005,-999,-999,815.75,874
146,1750951387065,-999,-999,815.75,874.25
147,1750951387106,-999,-999,815.75,874.5
148,1750951387155,-999,-999,816.25,874
149,1750951387205,-999,-999,816.5,873
150,1750951387270,-999,-999,816.5,874.25
151,1750951387309,-999,-999,815.25,875
152,1750951387355,-999,-999,816,874.75
153,1750951387406,-999,-999,816,873.5
154,1750951387456,-999,-999,816.25,873.5
155,1750951387506,-999,-999,816.25,873.5
