timestamp_ms,x,y,z,new_x,new_y,new_z,height_m,rpm
1750863303892,-1.95761,-4.36114,0.5,-1.95761,-4.36114,0.5,-1.84261,3000
1750863303943,-2.33438,-4.05079,0.5,-2.33438,-4.05079,0.5,-2.21938,3000
1750863303990,-2.62065,-3.62302,0.5,-2.62065,-3.62302,0.5,-2.50565,3000
1750863304040,-2.84581,-3.22052,0.5,-2.84581,-3.22052,0.5,-2.73081,3000
1750863304091,-2.92865,-2.92801,0.5,-2.92865,-2.92801,0.5,-2.81365,3000
1750863304140,-2.77846,-2.46147,0.5,-2.77846,-2.46147,0.5,-2.66346,3000
1750863304197,-3.17545,-2.05329,0.5,-3.17545,-2.05329,0.5,-3.06045,3000
1750863304246,-3.17898,-1.72526,0.5,-3.17898,-1.72526,0.5,-3.06398,3000
1750863304291,-3.31198,-1.37903,0.5,-3.31198,-1.37903,0.5,-3.19698,3000
1750863304342,-3.23456,-0.971757,0.5,-3.23456,-0.971757,0.5,-3.11956,3000
1750863304394,-3.2457,-0.751381,0.5,-3.2457,-0.751381,0.5,-3.1307,3000
1750863304447,-3.09388,-0.423162,0.5,-3.09388,-0.423162,0.5,-2.97888,3000
1750863304491,-3.05125,-0.164225,0.5,-3.05125,-0.164225,0.5,-2.93625,3000
1750863304554,-3.12723,0.308686,0.5,-3.12723,0.308686,0.5,-3.01223,3000
1750863304599,-3.07125,0.643016,0.5,-3.07125,0.643016,0.5,-2.95625,3000
1750863304643,-2.96038,0.871662,0.5,-2.96038,0.871662,0.5,-2.84538,3000
1750863304692,-2.91738,1.27825,0.5,-2.91738,1.27825,0.5,-2.80238,3000
1750863304744,-2.41282,1.60272,0.5,-2.41282,1.60272,0.5,-2.29782,3000
1750863304794,-2.23323,1.70129,0.5,-2.23323,1.70129,0.5,-2.11823,3000
1750863304842,-2.09136,1.76747,0.5,-2.09136,1.76747,0.5,-1.97636,3000
1750863304893,-1.90263,1.88444,0.5,-1.90263,1.88444,0.5,-1.78763,3000
1750863304943,-1.56239,2.00054,0.5,-1.56239,2.00054,0.5,-1.44739,3000
1750863304991,-1.28275,2.06802,0.5,-1.28275,2.06802,0.5,-1.16775,3000
1750863305043,-0.98126,2.1808,0.5,-0.98126,2.1808,0.5,-0.86626,3000
1750863305095,-0.749827,2.31432,0.5,-0.749827,2.31432,0.5,-0.634827,3000
1750863305149,-0.474332,2.36371,0.5,-0.474332,2.36371,0.5,-0.359332,3000
1750863305194,-0.0425317,2.46535,0.5,-0.0425317,2.46535,0.5,0.0724683,3000
1750863305242,0.112995,2.5415,0.5,0.112995,2.5415,0.5,0.227995,3000
1750863305293,-0.11627,2.44429,0.5,-0.11627,2.44429,0.5,-0.00126991,3000
1750863305344,-0.467144,2.49047,0.5,-0.467144,2.49047,0.5,-0.352144,3000
1750863305395,-0.733693,2.41583,0.5,-0.733693,2.41583,0.5,-0.618693,3000
1750863305447,-0.907229,2.36976,0.5,-0.907229,2.36976,0.5,-0.792229,3000
1750863305504,-1.10919,2.34294,0.5,-1.10919,2.34294,0.5,-0.994188,3000
1750863305549,-1.26014,2.30061,0.5,-1.26014,2.30061,0.5,-1.14514,3000
1750863305598,-1.42476,2.26826,0.5,-1.42476,2.26826,0.5,-1.30976,3000
1750863305653,-1.647,2.20994,0.5,-1.647,2.20994,0.5,-1.532,3000
1750863305697,-1.64243,2.19211,0.5,-1.64243,2.19211,0.5,-1.52743,3000
1750863305745,-1.73858,2.12793,0.5,-1.73858,2.12793,0.5,-1.62358,3000
1750863305796,-1.79553,2.11652,0.5,-1.79553,2.11652,0.5,-1.68053,3000
1750863305846,-1.82375,2.05515,0.5,-1.82375,2.05515,0.5,-1.70875,3000
1750863305895,-1.85781,2.03276,0.5,-1.85781,2.03276,0.5,-1.74281,3000
1750863305945,-1.89894,1.97899,0.5,-1.89894,1.97899,0.5,-1.78394,3000
1750863305996,-1.88013,1.95415,0.5,-1.88013,1.95415,0.5,-1.76513,3000
1750863306044,-1.84247,1.87842,0.5,-1.84247,1.87842,0.5,-1.72747,3000
1750863306097,-1.70332,1.88346,0.5,-1.70332,1.88346,0.5,-1.58832,3000
1750863306150,-1.68173,1.81237,0.5,-1.68173,1.81237,0.5,-1.56673,3000
1750863306199,-1.53208,1.76621,0.5,-1.53208,1.76621,0.5,-1.41708,3000
1750863306245,-1.41711,1.73158,0.5,-1.41711,1.73158,0.5,-1.30211,3000
1750863306299,-1.21021,1.71369,0.5,-1.21021,1.71369,0.5,-1.09521,3000
1750863306346,-1.05417,1.69084,0.5,-1.05417,1.69084,0.5,-0.939168,3000
1750863306547,-0.103348,1.47314,0.5,-0.103348,1.47314,0.5,0.0116521,3000
1750863306601,0.161125,1.46557,0.5,0.161125,1.46557,0.5,0.276125,3000
1750863306658,-0.133243,1.45695,0.5,-0.133243,1.45695,0.5,-0.0182434,3000
1750863306705,-0.173385,1.43916,0.5,-0.173385,1.43916,0.5,-0.0583846,3000
