frame_id,timestamp_ms,ball_u,ball_v,aruco_u,aruco_v
707,1750950693007,-999,-999,-999,-999
708,1750950693075,-999,-999,704.5,731.25
709,1750950693116,-999,-999,704.5,730.5
710,1750950693159,-999,-999,704.75,730
711,1750950693208,-999,-999,704,731.25
712,1750950693257,-999,-999,703.5,730
713,1750950693307,-999,-999,703.25,730.75
714,1750950693357,-999,-999,704,731
715,1750950693410,-999,-999,704.5,731.75
716,1750950693458,-999,-999,704,731
717,1750950693515,-999,-999,704,730.25
718,1750950693558,-999,-999,703.5,730.75
719,1750950693608,-999,-999,703.75,730.25
720,1750950693663,-999,-999,705,730.5
721,1750950693710,-999,-999,704,730
722,1750950693761,-999,-999,704.25,730.5
723,1750950693809,-999,-999,703.5,730.75
724,1750950693859,-999,-999,705,730.75
725,1750950693909,-999,-999,704,729.5
726,1750950693959,-999,-999,703,730.25
727,1750950694009,-999,-999,703,730.5
728,1750950694059,-999,-999,703.75,731.25
729,1750950694109,-999,-999,703.75,730.75
730,1750950694160,-999,-999,703.5,730.25
731,1750950694215,-999,-999,703.75,730.25
732,1750950694260,-999,-999,703.75,730
733,1750950694310,-999,-999,704.75,730.25
734,1750950694361,-999,-999,703.75,730.75
735,1750950694410,-999,-999,703.75,729.75
736,1750950694460,-999,-999,703.25,729.75
737,1750950694513,-999,-999,704.25,730.5
738,1750950694560,-999,-999,703,730.25
739,1750950694611,-999,-999,-999,-999
740,1750950694662,-999,-999,704,730
741,1750950694711,-999,-999,705,730.25
742,1750950694772,-999,-999,703.75,730.75
743,1750950694967,-999,-999,703.25,730.75
744,1750950695100,-999,-999,702.5,730.5
745,1750950695230,-999,-999,703.5,731
746,1750950695359,-999,-999,704.25,730.25
747,1750950695491,-999,-999,-999,-999
748,1750950695613,-999,-999,704,730.5
749,1750950695736,-999,-999,704.25,730.25
750,1750950695858,-999,-999,704,729.25
751,1750950695983,-999,-999,704.5,730.25
752,1750950696108,-999,-999,703,730
753,1750950696233,-999,-999,703.5,730.25
754,1750950696359,-999,-999,704,730
755,1750950696491,-999,-999,703.5,731
756,1750950696611,-999,-999,-999,-999
757,1750950696732,87.4056,151.805,705,729.75
758,1750950696863,153.36,93.0486,704.25,730.5
759,1750950696990,260.259,10.1483,702.75,730.75
760,1750950697117,-999,-999,704,730.5
761,1750950697245,-999,-999,703.75,730.75
762,1750950697373,524.86,12.1835,-999,-999
763,1750950697495,592.979,62.8106,703.75,729.25
764,1750950697620,692.792,160.461,702.25,729.75
765,1750950697749,756.807,237.468,703.5,729.75
766,1750950697878,855.359,382.354,705.5,731
767,1750950698006,920.046,493.996,703.25,730.75
768,1750950698127,1005.92,627.211,703.25,730.75
769,1750950698255,-999,-999,704.5,730.75
770,1750950698383,1094.9,379.554,703.75,731.25
771,1750950698504,1127.75,306.852,704.5,729.75
772,1750950698627,1177.89,225.931,703.75,730
773,1750950698751,1191.34,241.329,704.75,731
774,1750950698879,1212.04,294.346,703.5,731
775,1750950699001,1232.23,346.856,703.25,730.5
776,1750950699126,1247.74,458.328,704,730.5
777,1750950699254,1263.85,549.226,704,731
778,1750950699374,1267.97,596.021,703.75,730.25
779,1750950699503,1271.14,514.324,704.5,730.5
780,1750950699625,1267.33,418.426,-999,-999
781,1750950699747,1266.7,373.185,703.75,731.25
