frame_id,timestamp_ms,ball_u,ball_v,aruco_u,aruco_v
478,1750952010667,-999,-999,816.25,874
479,1750952010790,-999,-999,814.75,874.75
480,1750952010919,-999,-999,816,873.5
481,1750952011050,-999,-999,817,873.5
482,1750952011179,-999,-999,817,873.75
483,1750952011308,-999,-999,816.25,874.25
484,1750952011436,-999,-999,815.5,873.25
485,1750952011567,-999,-999,816.25,874.25
486,1750952011697,-999,-999,816,874
487,1750952011826,-999,-999,816.5,874
488,1750952011949,-999,-999,815.5,874.25
489,1750952012074,-999,-999,815.75,874
490,1750952012198,-999,-999,817,873.25
491,1750952012327,-999,-999,815.25,873.25
492,1750952012450,-999,-999,815.75,873.25
493,1750952012576,-999,-999,816,873.5
494,1750952012707,-999,-999,816.75,874
495,1750952012838,-999,-999,814.75,874.25
496,1750952012959,-999,-999,816.75,872.75
497,1750952013090,-999,-999,815.5,873.5
498,1750952013213,-999,-999,816,875.25
499,1750952013337,-999,-999,815.75,873.5
500,1750952013459,-999,-999,816,874
501,1750952013585,-999,-999,815.75,874.25
502,1750952013710,156.418,421.421,815.5,874.5
503,1750952013835,208.153,386.412,816,873.5
504,1750952013959,286.461,364.008,815.75,873.75
505,1750952014091,361.989,379.342,817,874.25
506,1750952014221,413.114,410.958,817.25,874.25
507,1750952014341,488.207,482.526,815.5,874
508,1750952014472,540.047,549.442,815.5,874.5
509,1750952014595,616.571,660.972,816.5,874.25
510,1750952014721,665.694,772.762,815.25,872.75
511,1750952014849,709.208,695.775,816.25,874.25
512,1750952014978,-999,-999,816.25,874
513,1750952015097,778.711,534.949,816.75,874.5
514,1750952015219,806.132,497.314,815.75,874.75
515,1750952015348,846.692,469.144,816.25,873.75
516,1750952015477,874.981,470.517,816.25,873.25
