frame_id,timestamp_ms,ball_u,ball_v,aruco_u,aruco_v
98,1750951540711,-999,-999,815.5,874.5
99,1750951540771,-999,-999,815.75,874.25
100,1750951540813,-999,-999,815.75,873.25
101,1750951540863,-999,-999,815.75,874
102,1750951540912,-999,-999,817,874.25
103,1750951540963,-999,-999,816.75,873.75
104,1750951541013,-999,-999,815.75,872.75
105,1750951541062,-999,-999,816.5,874.25
106,1750951541113,-999,-999,815,874
107,1750951541165,-999,-999,816.25,874
108,1750951541215,-999,-999,815.75,874.25
109,1750951541263,-999,-999,816.25,873.25
110,1750951541314,-999,-999,815.75,875.25
111,1750951541363,-999,-999,816,873.5
112,1750951541413,-999,-999,816.25,873.75
113,1750951541464,-999,-999,815.75,873.75
114,1750951541525,-999,-999,816,873.5
115,1750951541564,-999,-999,815.5,874.5
116,1750951541622,-999,-999,816,872.25
117,1750951541664,-999,-999,816.25,874.25
118,1750951541723,-999,-999,817.25,874.5
119,1750951541767,-999,-999,815.75,873.5
120,1750951541814,-999,-999,817.25,873.5
121,1750951541882,-999,-999,815.25,872.75
122,1750951541930,-999,-999,816.5,874.25
123,1750951541968,-999,-999,816,873.5
124,1750951542015,-999,-999,816,872.25
125,1750951542066,-999,-999,816.75,874
126,1750951542114,-999,-999,816.75,874.25
127,1750951542172,-999,-999,817.5,873.5
128,1750951542215,-999,-999,815.25,874.25
129,1750951542278,-999,-999,815.5,874
130,1750951542320,-999,-999,816.5,873.25
131,1750951542365,-999,-999,815.5,875
132,1750951542428,-999,-999,816.25,875
133,1750951542467,-999,-999,814.25,872.5
134,1750951542522,-999,-999,816.5,874.75
135,1750951542566,-999,-999,816,873.75
136,1750951542616,-999,-999,815.75,873.5
137,1750951542667,-999,-999,815.75,874.25
138,1750951542717,-999,-999,816.5,874
139,1750951542776,-999,-999,816.5,874.5
140,1750951542820,-999,-999,816,874.5
141,1750951542867,-999,-999,816.25,874
142,1750951542917,-999,-999,815,874
143,1750951542968,-999,-999,815.75,873.5
144,1750951543017,-999,-999,816.5,874
145,1750951543073,-999,-999,816.25,873.75
146,1750951543118,-999,-999,815.75,874.5
147,1750951543168,-999,-999,815.75,874
148,1750951543218,-999,-999,816,873.5
149,1750951543274,-999,-999,815.25,873.25
150,1750951543318,-999,-999,815.5,874.25
151,1750951543368,-999,-999,816.25,873.5
152,1750951543421,-999,-999,816.5,873.5
153,1750951543469,-999,-999,815.75,874
154,1750951543519,-999,-999,815.25,874.75
155,1750951543574,-999,-999,816.25,874.25
156,1750951543619,-999,-999,815.5,874
157,1750951543669,-999,-999,815.25,873
158,1750951543719,-999,-999,815.75,874.5
159,1750951543770,-999,-999,817.25,875.25
160,1750951543826,-999,-999,816.25,874.5
161,1750951543869,-999,-999,816,874
162,1750951543920,-999,-999,816.25,874.5
163,1750951543973,-999,-999,815.75,874.5
164,1750951544020,-999,-999,816,874.5
165,1750951544081,-999,-999,815,873.75
166,1750951544121,-999,-999,815.25,873.75
167,1750951544173,-999,-999,816.25,873.5
168,1750951544220,-999,-999,817,874.25
169,1750951544276,-999,-999,816,874.5
170,1750951544321,-999,-999,816.25,874.25
171,1750951544371,-999,-999,816.25,873
172,1750951544421,-999,-999,817,874.75
173,1750951544480,-999,-999,815.75,874
174,1750951544521,-999,-999,816,873.75
175,1750951544571,-999,-999,816,873.75
176,1750951544628,-999,-999,816,873.75
177,1750951544673,-999,-999,816.5,873.25
178,1750951544729,-999,-999,815.25,873.75
179,1750951544772,-999,-999,816.5,873.75
180,1750951544823,-999,-999,816,873.75
181,1750951544873,-999,-999,816.25,873.75
182,1750951544922,-999,-999,815.75,874.25
183,1750951544975,-999,-999,816.25,873.75
184,1750951545022,-999,-999,816.75,874.5
185,1750951545072,-999,-999,815.25,873.5
186,1750951545123,-999,-999,817,873.25
187,1750951545175,-999,-999,815.75,873.5
