frame_id,timestamp_ms,ball_u,ball_v,aruco_u,aruco_v
1919,1750951913978,-999,-999,815.25,874
1920,1750951914025,-999,-999,815.5,873.75
1921,1750951914077,-999,-999,816.5,874
1922,1750951914126,-999,-999,816.5,873.5
1923,1750951914179,-999,-999,816,872.75
1924,1750951914225,-999,-999,815.75,873
1925,1750951914275,-999,-999,816,875.25
1926,1750951914325,-999,-999,815.25,873.75
1927,1750951914381,-999,-999,815.75,875
1928,1750951914426,-999,-999,815.75,873.75
1929,1750951914478,-999,-999,815.75,873.75
1930,1750951914530,-999,-999,816.5,874.5
1931,1750951914576,-999,-999,816.5,873.75
1932,1750951914627,-999,-999,816.25,874
1933,1750951914677,-999,-999,816.75,873.75
1934,1750951914731,-999,-999,816.5,873.5
1935,1750951914777,-999,-999,817,873.25
1936,1750951914828,-999,-999,816.25,873.25
1937,1750951914877,-999,-999,815.5,872.75
1938,1750951914928,-999,-999,816.5,874
1939,1750951914979,-999,-999,816.5,875
1940,1750951915028,-999,-999,816.5,873.75
1941,1750951915081,-999,-999,815.75,874.75
1942,1750951915136,-999,-999,816.75,874
1943,1750951915178,-999,-999,816.5,874.25
1944,1750951915229,-999,-999,815.75,873
1945,1750951915284,-999,-999,816,874.25
1946,1750951915330,-999,-999,816.5,873.75
1947,1750951915379,-999,-999,817,873.75
1948,1750951915428,-999,-999,815.5,874.25
1949,1750951915478,-999,-999,815,873.75
1950,1750951915530,-999,-999,816.25,872.5
1951,1750951915580,-999,-999,815,874
1952,1750951915630,-999,-999,816.5,873.25
1953,1750951915679,-999,-999,816.25,873.5
1954,1750951915729,-999,-999,816.25,874.25
1955,1750951915780,-999,-999,815.5,874
1956,1750951915830,-999,-999,815.5,874
1957,1750951915882,-999,-999,816,874
1958,1750951915932,-999,-999,816.75,873.75
1959,1750951915981,-999,-999,816.5,874.75
1960,1750951916030,-999,-999,816.75,873.75
1961,1750951916081,-999,-999,816,873.5
1962,1750951916130,-999,-999,815,873.5
1963,1750951916183,-999,-999,816,873.75
1964,1750951916231,-999,-999,816.5,874
1965,1750951916281,-999,-999,815.75,875
1966,1750951916331,-999,-999,816,873.5
1967,1750951916381,-999,-999,816,873.25
1968,1750951916431,-999,-999,816.25,874.75
1969,1750951916482,-999,-999,815.75,875
1970,1750951916532,-999,-999,815.5,872.5
1971,1750951916582,-999,-999,816,873.75
1972,1750951916632,-999,-999,817,874.25
1973,1750951916683,-999,-999,816,875.25
1974,1750951916732,-999,-999,816.25,873.75
1975,1750951916783,-999,-999,816.5,874.25
1976,1750951916835,-999,-999,816,873.5
1977,1750951916884,-999,-999,816,873.5
1978,1750951916934,-999,-999,814.75,874.5
1979,1750951916983,-999,-999,817.25,873.75
1980,1750951917035,-999,-999,816,874.25
1981,1750951917083,-999,-999,815.5,873.5
1982,1750951917133,-999,-999,816.5,874
1983,1750951917184,-999,-999,815.75,873.75
1984,1750951917234,-999,-999,816.25,874
1985,1750951917285,-999,-999,816.25,874.25
1986,1750951917334,-999,-999,815.75,873.5
1987,1750951917384,-999,-999,816.5,873.5
1988,1750951917434,-999,-999,816.25,873.25
1989,1750951917484,-999,-999,816.5,873.75
1990,1750951917535,-999,-999,816.5,874
1991,1750951917585,-999,-999,816,874
1992,1750951917637,-999,-999,815.5,874.25
1993,1750951917685,-999,-999,816,873.75
1994,1750951917735,-999,-999,816.25,873.5
1995,1750951917786,-999,-999,815.75,875.25
1996,1750951917835,-999,-999,814.75,873.5
1997,1750951917886,-999,-999,816.5,873.25
1998,1750951917940,-999,-999,815.75,873.75
1999,1750951917987,-999,-999,816.25,875.5
2000,1750951918036,-999,-999,816.25,874.75
2001,1750951918086,-999,-999,816.5,873.5
2002,1750951918139,-999,-999,816.5,873.75
2003,1750951918186,-999,-999,816,872.75
2004,1750951918237,-999,-999,817.5,874
2005,1750951918287,-999,-999,815.75,874.25
2006,1750951918337,-999,-999,816.5,874.25
2007,1750951918387,-999,-999,816.25,874.5
2008,1750951918437,-999,-999,816,874.25
2009,1750951918488,-999,-999,816.5,874.25
2010,1750951918537,-999,-999,815.75,874.5
2011,1750951918587,-999,-999,815.75,873.25
2012,1750951918637,-999,-999,815.75,874.25
2013,1750951918687,-999,-999,815.25,873.75
2014,1750951918738,-999,-999,815.25,873
2015,1750951918788,-999,-999,816,874.25
2016,1750951918839,-999,-999,816.25,873.75
2017,1750951918888,-999,-999,815.5,874.75
2018,1750951918938,-999,-999,816.25,874.25
2019,1750951918989,-999,-999,817,873
2020,1750951919039,-999,-999,815.25,874.25
2021,1750951919098,-999,-999,815.25,873.5
2022,1750951919139,-999,-999,816.25,874.25
2023,1750951919189,-999,-999,816.25,874.25
2024,1750951919239,-999,-999,817,874
2025,1750951919290,-999,-999,816.5,872.75
2026,1750951919339,-999,-999,815,874.25
2027,1750951919393,-999,-999,815.25,874.25
2028,1750951919440,-999,-999,816,874.25
2029,1750951919491,-999,-999,816.25,873.25
2030,1750951919540,-999,-999,816,874.75
2031,1750951919597,-999,-999,815.25,873
2032,1750951919640,-999,-999,816.5,874.75
2033,1750951919691,-999,-999,816.25,873.75
2034,1750951919740,-999,-999,815,873.75
2035,1750951919797,-999,-999,816,874.75
2036,1750951919841,-999,-999,816,873
2037,1750951919893,-999,-999,815.5,874.75
2038,1750951919941,-999,-999,816.5,873.75
2039,1750951919991,136.682,433.52,816.25,874.25
2040,1750951920042,162.533,405.734,816,874
2041,1750951920100,187.87,383.567,816.75,874.25
2042,1750951920148,218.392,355.382,816.75,874.5
2043,1750951920192,244.796,343.295,816,874
2044,1750951920250,269.653,330.872,816.5,873.75
2045,1750951920292,295.399,323.841,816.25,873.5
2046,1750951920343,326.003,323.457,815.75,872.5
2047,1750951920393,351.901,325.928,815.75,874
2048,1750951920443,377.525,331.164,817,872.75
2049,1750951920502,403.26,338.813,815.25,874.25
2050,1750951920544,432.316,358.108,815.5,874.5
2051,1750951920593,456.153,374.747,815.5,874.75
2052,1750951920643,483.265,398.396,817.25,873.75
2053,1750951920694,509.392,421.888,816.5,873.75
2054,1750951920743,535.978,451.682,816.5,874
2055,1750951920793,561.983,481.566,816,874.5
2056,1750951920853,588.013,517.495,815.75,873.5
2057,1750951920894,-999,-999,817.5,875.5
2058,1750951920944,-999,-999,816.75,873.5
2059,1750951920998,665.616,642.525,816.75,873.75
2060,1750951921044,689.953,692.882,817.25,874
2061,1750951921093,715.453,744.948,816.5,873.75
2062,1750951921147,-999,-999,816.5,874
2063,1750951921194,754.681,754.895,816.25,874
2064,1750951921245,770.856,694.228,817.25,874
2065,1750951921305,790.396,658.792,816.5,874
2066,1750951921347,803.392,628.384,816,873.75
2067,1750951921399,813.107,597.444,816.75,874.25
2068,1750951921446,828.675,563.039,816.5,874.5
2069,1750951921496,843.174,535.153,816,875.25
2070,1750951921546,855.6,511.043,816.75,874
