timestamp_ms,x,y,z,new_x,new_y,new_z,height_m,rpm
1750863490359,-5.4339,-5.37094,0.5,-5.4339,-5.37094,0.5,-5.3189,3000
1750863490464,-4.66376,-5.00665,0.5,-4.66376,-5.00665,0.5,-4.54876,3000
1750863490511,-4.27462,-5.00045,0.5,-4.27462,-5.00045,0.5,-4.15962,3000
1750863490609,-3.48536,-4.91459,0.5,-3.48536,-4.91459,0.5,-3.37036,3000
1750863490657,-3.02814,-4.70176,0.5,-3.02814,-4.70176,0.5,-2.91314,3000
1750863490710,-2.31419,-4.28877,0.5,-2.31419,-4.28877,0.5,-2.19919,3000
1750863490760,-2.01068,-4.36858,0.5,-2.01068,-4.36858,0.5,-1.89568,3000
1750863490809,-1.53629,-4.32948,0.5,-1.53629,-4.32948,0.5,-1.42129,3000
1750863490864,-1.07254,-4.45719,0.5,-1.07254,-4.45719,0.5,-0.957537,3000
1750863490911,-0.551936,-4.11182,0.5,-0.551936,-4.11182,0.5,-0.436936,3000
1750863490959,-0.018086,-4.22773,0.5,-0.018086,-4.22773,0.5,0.096914,3000
1750863491011,0.426219,-4.01786,0.5,0.426219,-4.01786,0.5,0.541219,3000
1750863491059,0.0430497,-3.9699,0.5,0.0430497,-3.9699,0.5,0.15805,3000
1750863491109,-0.492929,-3.77857,0.5,-0.492929,-3.77857,0.5,-0.377929,3000
1750863491159,-0.835637,-4.07245,0.5,-0.835637,-4.07245,0.5,-0.720637,3000
1750863491209,-1.21426,-3.85308,0.5,-1.21426,-3.85308,0.5,-1.09926,3000
1750863491266,-1.51941,-3.77365,0.5,-1.51941,-3.77365,0.5,-1.40441,3000
1750863491311,-1.78816,-3.78428,0.5,-1.78816,-3.78428,0.5,-1.67316,3000
1750863491361,-2.25326,-3.87413,0.5,-2.25326,-3.87413,0.5,-2.13826,3000
1750863491412,-2.52544,-3.91029,0.5,-2.52544,-3.91029,0.5,-2.41044,3000
1750863491464,-2.88949,-3.93348,0.5,-2.88949,-3.93348,0.5,-2.77449,3000
1750863491512,-3.07543,-3.92896,0.5,-3.07543,-3.92896,0.5,-2.96043,3000
1750863491565,-3.17679,-3.80623,0.5,-3.17679,-3.80623,0.5,-3.06179,3000
1750863491614,-3.26467,-3.84472,0.5,-3.26467,-3.84472,0.5,-3.14967,3000
1750863491670,-3.36307,-3.71327,0.5,-3.36307,-3.71327,0.5,-3.24807,3000
1750863491715,-3.40008,-3.76697,0.5,-3.40008,-3.76697,0.5,-3.28508,3000
1750863491768,-3.36589,-3.62122,0.5,-3.36589,-3.62122,0.5,-3.25089,3000
1750863491814,-3.44109,-3.71888,0.5,-3.44109,-3.71888,0.5,-3.32609,3000
1750863491867,-3.51634,-3.77136,0.5,-3.51634,-3.77136,0.5,-3.40134,3000
1750863491913,-2.96558,-3.4256,0.5,-2.96558,-3.4256,0.5,-2.85058,3000
1750863491965,-3.24901,-3.4404,0.5,-3.24901,-3.4404,0.5,-3.13401,3000
1750863492014,-3.20217,-3.528,0.5,-3.20217,-3.528,0.5,-3.08717,3000
1750863492061,-2.68283,-3.22392,0.5,-2.68283,-3.22392,0.5,-2.56783,3000
1750863492120,-3.06311,-3.41956,0.5,-3.06311,-3.41956,0.5,-2.94811,3000
1750863492164,-2.45582,-3.2636,0.5,-2.45582,-3.2636,0.5,-2.34082,3000
1750863492213,-2.17195,-3.16046,0.5,-2.17195,-3.16046,0.5,-2.05695,3000
1750863492262,-2.0607,-3.24865,0.5,-2.0607,-3.24865,0.5,-1.9457,3000
1750863492315,-1.83643,-3.28381,0.5,-1.83643,-3.28381,0.5,-1.72143,3000
1750863492362,-1.28859,-3.07507,0.5,-1.28859,-3.07507,0.5,-1.17359,3000
1750863492417,-1.04765,-3.20513,0.5,-1.04765,-3.20513,0.5,-0.932651,3000
1750863492463,-0.649553,-3.07138,0.5,-0.649553,-3.07138,0.5,-0.534553,3000
1750863492511,-0.249904,-3.14225,0.5,-0.249904,-3.14225,0.5,-0.134904,3000
1750863492568,0.158622,-2.97761,0.5,0.158622,-2.97761,0.5,0.273622,3000
1750863492612,0.433462,-2.90331,0.5,0.433462,-2.90331,0.5,0.548462,3000
1750863492670,0.112136,-2.87786,0.5,0.112136,-2.87786,0.5,0.227136,3000
1750863492719,-0.409739,-2.97048,0.5,-0.409739,-2.97048,0.5,-0.294739,3000
1750863492764,-0.69434,-2.94925,0.5,-0.69434,-2.94925,0.5,-0.57934,3000
1750863492818,-0.928046,-2.90788,0.5,-0.928046,-2.90788,0.5,-0.813046,3000
1750863492865,-1.18063,-2.93274,0.5,-1.18063,-2.93274,0.5,-1.06563,3000
1750863492917,-1.41296,-2.8671,0.5,-1.41296,-2.8671,0.5,-1.29796,3000
1750863492967,-1.54327,-2.84001,0.5,-1.54327,-2.84001,0.5,-1.42827,3000
1750863493014,-1.68171,-2.82992,0.5,-1.68171,-2.82992,0.5,-1.56671,3000
1750863493068,-1.9508,-2.77383,0.5,-1.9508,-2.77383,0.5,-1.8358,3000
1750863493127,-1.98013,-2.7852,0.5,-1.98013,-2.7852,0.5,-1.86513,3000
1750863493174,-2.02566,-2.65957,0.5,-2.02566,-2.65957,0.5,-1.91066,3000
1750863493218,-2.1599,-2.72041,0.5,-2.1599,-2.72041,0.5,-2.0449,3000
1750863493269,-2.19082,-2.71027,0.5,-2.19082,-2.71027,0.5,-2.07582,3000
1750863493315,-2.11079,-2.66748,0.5,-2.11079,-2.66748,0.5,-1.99579,3000
1750863493365,-2.10594,-2.62057,0.5,-2.10594,-2.62057,0.5,-1.99094,3000
1750863493416,-2.05497,-2.65269,0.5,-2.05497,-2.65269,0.5,-1.93997,3000
1750863493466,-1.94014,-2.62247,0.5,-1.94014,-2.62247,0.5,-1.82514,3000
1750863493520,-1.67501,-2.54799,0.5,-1.67501,-2.54799,0.5,-1.56001,3000
1750863493567,-1.54288,-2.47298,0.5,-1.54288,-2.47298,0.5,-1.42788,3000
1750863493619,-1.19538,-2.4352,0.5,-1.19538,-2.4352,0.5,-1.08038,3000
1750863493675,-0.995726,-2.41864,0.5,-0.995726,-2.41864,0.5,-0.880726,3000
1750863493720,-0.835243,-2.38596,0.5,-0.835243,-2.38596,0.5,-0.720243,3000
1750863493819,-0.125526,-2.35293,0.5,-0.125526,-2.35293,0.5,-0.0105261,3000
1750863493867,0.147831,-2.27464,0.5,0.147831,-2.27464,0.5,0.262831,3000
1750863493919,0.518942,-2.24227,0.5,0.518942,-2.24227,0.5,0.633942,3000
1750863493967,0.215539,-2.20542,0.5,0.215539,-2.20542,0.5,0.330539,3000
1750863494017,-0.0766185,-2.20387,0.5,-0.0766185,-2.20387,0.5,0.0383815,3000
1750863494070,-0.269214,-2.17543,0.5,-0.269214,-2.17543,0.5,-0.154214,3000
1750863494117,-0.533249,-2.1075,0.5,-0.533249,-2.1075,0.5,-0.418249,3000
1750863494183,-0.716605,-2.12892,0.5,-0.716605,-2.12892,0.5,-0.601605,3000
1750863494229,-0.842295,-2.1328,0.5,-0.842295,-2.1328,0.5,-0.727295,3000
1750863494274,-1.09047,-2.11179,0.5,-1.09047,-2.11179,0.5,-0.975468,3000
1750863494368,-1.27295,-2.09961,0.5,-1.27295,-2.09961,0.5,-1.15795,3000
1750863494419,-1.33441,-2.08274,0.5,-1.33441,-2.08274,0.5,-1.21941,3000
1750863494470,-1.32193,-2.04497,0.5,-1.32193,-2.04497,0.5,-1.20693,3000
1750863494520,-1.24126,-2.04092,0.5,-1.24126,-2.04092,0.5,-1.12626,3000
1750863494569,-1.28102,-1.9841,0.5,-1.28102,-1.9841,0.5,-1.16602,3000
1750863494620,-1.19205,-1.94982,0.5,-1.19205,-1.94982,0.5,-1.07705,3000
1750863494674,-1.00759,-1.95335,0.5,-1.00759,-1.95335,0.5,-0.892594,3000
1750863494720,-0.871783,-1.92764,0.5,-0.871783,-1.92764,0.5,-0.756783,3000
1750863494769,-0.726916,-1.90867,0.5,-0.726916,-1.90867,0.5,-0.611916,3000
1750863494821,-0.51789,-1.93615,0.5,-0.51789,-1.93615,0.5,-0.40289,3000
1750863494872,-0.314437,-1.85009,0.5,-0.314437,-1.85009,0.5,-0.199437,3000
1750863494919,-0.0540907,-1.79278,0.5,-0.0540907,-1.79278,0.5,0.0609093,3000
1750863494971,0.262355,-1.77463,0.5,0.262355,-1.77463,0.5,0.377355,3000
1750863495030,0.548258,-1.721,0.5,0.548258,-1.721,0.5,0.663258,3000
1750863495089,0.273114,-1.70991,0.5,0.273114,-1.70991,0.5,0.388114,3000
1750863495133,0.0917572,-1.69242,0.5,0.0917572,-1.69242,0.5,0.206757,3000
1750863495176,-0.105669,-1.68801,0.5,-0.105669,-1.68801,0.5,0.00933073,3000
1750863495222,-0.40042,-1.68027,0.5,-0.40042,-1.68027,0.5,-0.28542,3000
1750863495271,-0.45468,-1.69674,0.5,-0.45468,-1.69674,0.5,-0.33968,3000
1750863495325,-0.595679,-1.66661,0.5,-0.595679,-1.66661,0.5,-0.480679,3000
1750863495372,-0.766322,-1.64881,0.5,-0.766322,-1.64881,0.5,-0.651322,3000
1750863495423,-0.774658,-1.65884,0.5,-0.774658,-1.65884,0.5,-0.659658,3000
1750863495475,-0.946229,-1.60465,0.5,-0.946229,-1.60465,0.5,-0.831229,3000
1750863495528,-0.888343,-1.58211,0.5,-0.888343,-1.58211,0.5,-0.773343,3000
1750863495575,-0.822973,-1.57985,0.5,-0.822973,-1.57985,0.5,-0.707973,3000
1750863495623,-0.767627,-1.54952,0.5,-0.767627,-1.54952,0.5,-0.652627,3000
1750863495674,-0.676552,-1.52526,0.5,-0.676552,-1.52526,0.5,-0.561552,3000
1750863495722,-0.563735,-1.48308,0.5,-0.563735,-1.48308,0.5,-0.448735,3000
1750863495774,-0.417146,-1.44761,0.5,-0.417146,-1.44761,0.5,-0.302146,3000
